x,y
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.004999,0.000096
0.004999,0.000096
0.009998,0.000192
0.009998,0.000192
0.014997,0.000288
0.024990,0.000673
0.024990,0.000673
0.024990,0.000673
0.024990,0.000673
0.024990,0.000673
0.024990,0.000673
0.024990,0.000673
0.024990,0.000673
0.024990,0.000673
0.024990,0.000673
0.024990,0.000673
0.024990,0.000673
0.024990,0.000673
0.024990,0.000673
0.024990,0.000673
0.024990,0.000673
0.024990,0.000673
0.024990,0.000673
0.024990,0.000673
0.024990,0.000673
0.024990,0.000673
0.024990,0.000673
0.024990,0.000673
0.024990,0.000673
0.024990,0.000673
0.024990,0.000673
0.024990,0.000673
0.024990,0.000673
0.024990,0.000673
0.024990,0.000673
0.024990,0.000673
0.024990,0.000673
0.024990,0.000673
0.024990,0.000673
0.024990,0.000673
0.024990,0.000673
0.024990,0.000673
0.029989,0.000769
0.029989,0.000769
0.034988,0.000865
0.044981,0.001250
0.044981,0.001250
0.044981,0.001250
0.044981,0.001250
0.044981,0.001250
0.044981,0.001250
0.044981,0.001250
0.044981,0.001250
0.044981,0.001250
0.044981,0.001250
0.044981,0.001250
0.044981,0.001250
0.044981,0.001250
0.044981,0.001250
0.044981,0.001250
0.044981,0.001250
0.044981,0.001250
0.044981,0.001250
0.044981,0.001250
0.044981,0.001250
0.049980,0.001346
0.049980,0.001346
0.054979,0.001442
0.064971,0.001827
0.064971,0.001827
0.064971,0.001827
0.064971,0.001827
0.064971,0.001827
0.064971,0.001827
0.064971,0.001827
0.064971,0.001827
0.064971,0.001827
0.064971,0.001827
0.064971,0.001827
0.064971,0.001827
0.064971,0.001827
0.064971,0.001827
0.064971,0.001827
0.064971,0.001827
0.064971,0.001827
0.064971,0.001827
0.069970,0.001923
0.074969,0.002019
0.074969,0.002019
0.084962,0.002403
0.089961,0.002500
0.089961,0.002500
0.089961,0.002500
0.089961,0.002500
0.089961,0.002500
0.089961,0.002500
0.089961,0.002500
0.089961,0.002500
0.089961,0.002500
0.089961,0.002500
0.089961,0.002500
0.089961,0.002500
0.089961,0.002500
0.089961,0.002500
0.089961,0.002500
0.089961,0.002500
0.089961,0.002500
0.089961,0.002500
0.094960,0.002596
0.094960,0.002596
0.104953,0.002980
0.104953,0.002980
0.114945,0.003365
0.114945,0.003365
0.114945,0.003365
0.114945,0.003365
0.114945,0.003365
0.114945,0.003365
0.114945,0.003365
0.114945,0.003365
0.114945,0.003365
0.114945,0.003365
0.114945,0.003365
0.114945,0.003365
0.114945,0.003365
0.114945,0.003365
0.114945,0.003365
0.114945,0.003365
0.114945,0.003365
0.114945,0.003365
0.114945,0.003365
0.114945,0.003365
0.124938,0.003749
0.134931,0.004134
0.134931,0.004134
0.134931,0.004134
0.134931,0.004134
0.134931,0.004134
0.134931,0.004134
0.134931,0.004134
0.134931,0.004134
0.134931,0.004134
0.134931,0.004134
0.134931,0.004134
0.134931,0.004134
0.139922,0.004422
0.144914,0.004710
0.154907,0.005095
0.154907,0.005095
0.154907,0.005095
0.154907,0.005095
0.154907,0.005095
0.154907,0.005095
0.154907,0.005095
0.154907,0.005095
0.164899,0.005479
0.164899,0.005479
0.174892,0.005864
0.179891,0.005960
0.184890,0.006056
0.184890,0.006056
0.184890,0.006056
0.184890,0.006056
0.184890,0.006056
0.184890,0.006056
0.184890,0.006056
0.184890,0.006056
0.184890,0.006056
0.189882,0.006345
0.189882,0.006345
0.189882,0.006345
0.199852,0.007113
0.204844,0.007401
0.209835,0.007690
0.209835,0.007690
0.209835,0.007690
0.209835,0.007690
0.209835,0.007690
0.209835,0.007690
0.209835,0.007690
0.209835,0.007690
0.209835,0.007690
0.209835,0.007690
0.219806,0.008458
0.229776,0.009227
0.229776,0.009227
0.229776,0.009227
0.229776,0.009227
0.229776,0.009227
0.229776,0.009227
0.229776,0.009227
0.229776,0.009227
0.234753,0.009707
0.239730,0.010187
0.239730,0.010187
0.249701,0.010955
0.249701,0.010955
0.254692,0.011243
0.254692,0.011243
0.254692,0.011243
0.254692,0.011243
0.254692,0.011243
0.254692,0.011243
0.264685,0.011628
0.264685,0.011628
0.274677,0.012012
0.274677,0.012012
0.284670,0.012397
0.284670,0.012397
0.284670,0.012397
0.284670,0.012397
0.284670,0.012397
0.289662,0.012685
0.289662,0.012685
0.289662,0.012685
0.299632,0.013454
0.309603,0.014222
0.309603,0.014222
0.319573,0.014991
0.319573,0.014991
0.319573,0.014991
0.319573,0.014991
0.319573,0.014991
0.329543,0.015759
0.329543,0.015759
0.329543,0.015759
0.339514,0.016528
0.344491,0.017008
0.349468,0.017488
0.349468,0.017488
0.349468,0.017488
0.349468,0.017488
0.349468,0.017488
0.349468,0.017488
0.349468,0.017488
0.349468,0.017488
0.349468,0.017488
0.359438,0.018256
0.369409,0.019025
0.369409,0.019025
0.369409,0.019025
0.369409,0.019025
0.369409,0.019025
0.369409,0.019025
0.369409,0.019025
0.369409,0.019025
0.369409,0.019025
0.374385,0.019505
0.379362,0.019985
0.389333,0.020753
0.389333,0.020753
0.389333,0.020753
0.389333,0.020753
0.389333,0.020753
0.389333,0.020753
0.389333,0.020753
0.389333,0.020753
0.399303,0.021522
