t,count1,count2,cmd_left,cmd_right
0.003754,0,0,0.000,0.000
0.045223,0,0,0.000,0.000
0.089395,0,0,0.000,0.000
0.130599,0,0,0.000,0.000
0.171530,0,0,0.000,0.000
0.212278,0,0,0.000,0.000
0.253036,0,0,0.000,0.000
0.294061,0,0,0.000,0.000
0.335292,0,0,0.000,0.000
0.376454,0,0,0.000,0.000
0.417726,0,0,0.000,0.000
0.458839,0,0,0.000,0.000
0.499993,0,0,0.000,0.000
0.541349,0,0,0.000,0.000
0.582438,0,0,0.000,0.000
0.623939,0,0,0.000,0.000
0.665132,0,0,0.000,0.000
0.706787,0,0,0.000,0.000
0.748076,0,0,0.000,0.000
0.789474,0,0,0.000,0.000
0.830617,0,0,0.000,0.000
0.871696,0,0,0.000,0.000
0.913031,0,0,0.000,0.000
0.954121,0,0,0.000,0.000
0.995315,0,0,0.000,0.000
1.036469,0,0,0.000,0.000
1.078177,0,0,0.000,0.000
1.119449,0,0,0.000,0.000
1.160383,0,0,0.000,0.000
1.201582,0,0,0.000,0.000
1.242708,0,0,0.000,0.000
1.284075,0,0,0.000,0.000
1.325431,0,0,0.000,0.000
1.366496,0,0,0.000,0.000
1.407161,0,0,0.000,0.000
1.447774,0,0,0.000,0.000
1.488368,0,0,0.000,0.000
1.528937,0,0,0.000,0.000
1.569535,0,0,0.000,0.000
1.610156,0,0,0.000,0.000
1.650753,0,0,0.000,0.000
1.691314,0,0,0.000,0.000
1.731872,0,0,0.000,0.000
1.772433,0,0,0.000,0.000
1.812982,0,0,0.000,0.000
1.853549,0,0,0.000,0.000
1.894103,0,0,0.000,0.000
1.934747,0,0,0.000,0.000
1.975339,0,0,0.000,0.000
2.015888,0,0,0.000,0.000
2.056454,0,0,0.000,0.000
2.097004,0,0,0.000,0.000
2.137576,0,0,0.000,0.000
2.178165,0,0,0.000,0.000
2.218763,0,0,0.400,0.400
2.228843,0,0,0.400,0.400
2.238914,0,0,0.400,0.400
2.248982,0,0,0.400,0.400
2.259050,0,0,0.400,0.400
2.269119,0,0,0.400,0.400
2.279204,0,1,0.400,0.400
2.289325,0,1,0.400,0.400
2.299405,1,1,0.400,0.400
2.309484,1,1,0.400,0.400
2.319555,1,1,0.400,0.400
2.329623,1,1,0.400,0.400
2.339694,1,1,0.400,0.400
2.349770,1,2,0.400,0.400
2.359842,2,2,0.400,0.400
2.369911,2,2,0.400,0.400
2.379982,2,2,0.400,0.400
2.390056,2,2,0.400,0.400
2.400126,3,3,0.400,0.400
2.410199,3,3,0.400,0.400
2.420268,3,3,0.400,0.400
2.430340,3,4,0.400,0.400
2.440396,4,4,0.250,0.250
2.450646,4,4,0.250,0.250
2.460818,4,4,0.250,0.250
2.470976,5,5,0.250,0.250
2.481142,5,5,0.250,0.250
2.491297,5,5,0.250,0.250
2.501469,6,6,0.250,0.250
2.511635,6,6,0.250,0.250
2.521787,6,6,0.250,0.250
2.531947,7,7,0.250,0.250
2.542113,7,7,0.250,0.250
2.552265,7,7,0.250,0.250
2.562456,8,8,0.250,0.250
2.572618,8,8,0.250,0.250
2.582769,8,8,0.250,0.250
2.592929,8,8,0.250,0.250
2.603088,9,9,0.250,0.250
2.613263,9,9,0.250,0.250
2.623453,9,9,0.250,0.250
