t,count1,count2,cmd_left,cmd_right
0.004172,0,0,0.000,0.000
0.045594,0,0,0.000,0.000
0.089344,0,0,0.000,0.000
0.130351,0,0,0.000,0.000
0.171290,0,0,0.000,0.000
0.212056,0,0,0.000,0.000
0.252711,0,0,0.000,0.000
0.293466,0,0,0.000,0.000
0.334195,0,0,0.000,0.000
0.374789,0,0,0.000,0.000
0.415414,0,0,0.000,0.000
0.456059,0,0,0.000,0.000
0.496696,0,0,0.000,0.000
0.537569,0,0,0.000,0.000
0.578276,0,0,0.000,0.000
0.618896,0,0,0.000,0.000
0.659493,0,0,0.000,0.000
0.700058,0,0,0.000,0.000
0.740492,0,0,0.000,0.000
0.780754,0,0,0.000,0.000
0.821023,0,0,0.000,0.000
0.861277,0,0,0.000,0.000
0.901531,0,0,0.000,0.000
0.941801,0,0,0.000,0.000
0.982090,0,0,0.000,0.000
1.022400,0,0,0.000,0.000
1.062679,0,0,0.000,0.000
1.103270,0,0,0.600,0.600
1.113353,0,0,0.600,0.600
1.123432,0,0,0.600,0.600
1.133533,0,0,0.600,0.600
1.143608,0,0,0.600,0.600
1.153681,0,0,0.600,0.600
1.163761,0,1,0.600,0.600
1.173849,1,1,0.600,0.600
1.183928,1,1,0.600,0.600
1.194000,1,1,0.600,0.600
1.204092,1,1,0.600,0.600
1.214163,2,2,0.600,0.600
1.224237,2,2,0.600,0.600
1.234315,2,2,0.600,0.600
1.244386,3,3,0.600,0.600
1.254456,3,3,0.600,0.600
1.264526,4,3,0.600,0.600
1.274599,4,4,0.250,0.250
1.284823,4,4,0.250,0.250
1.294986,5,5,0.250,0.250
1.305149,5,5,0.250,0.250
1.315313,6,5,0.250,0.250
1.325471,6,6,0.250,0.250
1.335645,7,6,0.250,0.250
1.345814,7,7,0.250,0.250
1.355971,7,7,0.250,0.250
1.366130,8,7,0.250,0.250
1.376303,8,8,0.250,0.250
1.386466,8,8,0.250,0.250
1.396645,9,9,0.250,0.250
1.406807,9,9,0.250,0.250
1.416962,10,9,0.250,0.250
1.427118,10,10,0.250,0.250
1.437287,10,10,0.250,0.250
1.447441,11,10,0.250,0.250
1.457602,11,11,0.250,0.250
1.467788,11,11,0.250,0.250
1.477953,12,11,0.250,0.250
1.488112,12,12,0.250,0.250
1.498264,12,12,0.250,0.250
1.508415,13,12,0.250,0.250
1.518567,13,13,0.250,0.250
1.528721,13,13,0.250,0.250
1.538894,14,13,0.250,0.250
1.549061,14,14,0.250,0.250
1.559215,14,14,0.250,0.250
1.569386,15,14,0.250,0.250
1.589554,15,15,0.000,0.000
1.103104,17,17,0.000,0.000
1.680076,18,17,0.000,0.000
1.720701,18,18,0.000,0.000
1.761660,19,18,0.600,0.600
1.771764,19,18,0.600,0.600
1.781893,19,18,0.600,0.600
1.792001,19,18,0.600,0.600
1.802078,19,19,0.600,0.600
1.812156,19,19,0.600,0.600
1.822224,20,19,0.600,0.600
1.832295,20,19,0.600,0.600
1.842369,20,19,0.600,0.600
1.852437,21,20,0.600,0.600
1.862477,21,20,0.600,0.600
1.872552,21,20,0.600,0.600
1.882628,22,21,0.600,0.600
1.892707,22,21,0.600,0.600
1.902782,23,21,0.600,0.600
1.912856,23,22,0.250,0.250
1.923288,23,22,0.250,0.250
1.933575,24,23,0.250,0.250
1.943755,24,23,0.250,0.250
1.953912,25,24,0.250,0.250
1.964071,25,24,0.250,0.250
1.974249,26,24,0.250,0.250
1.984445,26,25,0.250,0.250
1.994623,26,25,0.250,0.250
2.004778,27,26,0.250,0.250
2.014931,27,26,0.250,0.250
2.025086,28,26,0.250,0.250
2.035256,28,27,0.250,0.250
2.045420,28,27,0.250,0.250
2.055619,29,28,0.250,0.250
2.065784,29,28,0.250,0.250
2.075963,29,28,0.250,0.250
2.086123,30,29,0.250,0.250
2.096383,30,29,0.250,0.250
2.106556,31,29,0.250,0.250
2.116716,31,30,0.250,0.250
2.126872,31,30,0.250,0.250
2.137040,32,30,0.250,0.250
2.147202,32,31,0.250,0.250
2.157358,32,31,0.250,0.250
2.167514,33,31,0.250,0.250
2.177689,33,32,0.250,0.250
2.187841,33,32,0.250,0.250
2.197992,34,33,0.250,0.250
2.218142,34,33,0.000,0.000
1.761462,36,35,0.000,0.000
2.308648,37,36,0.000,0.000
2.349376,38,36,0.000,0.000
2.390117,38,37,0.000,0.000
2.430872,38,37,0.600,0.600
2.441037,38,37,0.600,0.600
2.451755,38,37,0.600,0.600
2.461872,38,37,0.600,0.600
2.471972,39,37,0.600,0.600
2.482055,39,37,0.600,0.600
2.492127,39,38,0.600,0.600
2.502202,39,38,0.600,0.600
2.512273,40,38,0.600,0.600
2.522344,40,38,0.600,0.600
2.532415,41,38,0.600,0.600
2.542488,41,39,0.600,0.600
2.552539,41,39,0.600,0.600
2.562611,42,39,0.600,0.600
2.572690,42,40,0.600,0.600
2.582761,42,40,0.600,0.600
2.592834,43,41,0.250,0.250
2.603096,43,41,0.250,0.250
2.613258,44,41,0.250,0.250
2.623428,44,42,0.250,0.250
2.633600,45,42,0.250,0.250
2.643771,45,43,0.250,0.250
2.653931,46,43,0.250,0.250
2.664090,46,44,0.250,0.250
2.674263,46,44,0.250,0.250
2.684425,47,44,0.250,0.250
2.694584,47,45,0.250,0.250
2.704733,48,45,0.250,0.250
2.714918,48,46,0.250,0.250
2.725106,48,46,0.250,0.250
2.735285,49,46,0.250,0.250
2.745458,49,47,0.250,0.250
2.755620,49,47,0.250,0.250
2.765778,50,47,0.250,0.250
2.775950,50,48,0.250,0.250
2.786121,50,48,0.250,0.250
2.796276,51,48,0.250,0.250
2.806438,51,49,0.250,0.250
2.816607,52,49,0.250,0.250
2.826770,52,50,0.250,0.250
2.836931,52,50,0.250,0.250
2.847109,53,50,0.250,0.250
2.857283,53,51,0.250,0.250
2.877442,54,51,0.000,0.000
2.430674,56,53,0.000,0.000
2.967919,56,54,0.000,0.000
3.008519,57,54,0.000,0.000
3.049499,57,55,0.600,0.600
3.059607,57,55,0.600,0.600
3.069744,57,55,0.600,0.600
3.079931,58,55,0.600,0.600
3.090057,58,55,0.600,0.600
3.100179,58,55,0.600,0.600
3.110300,58,56,0.600,0.600
3.120417,59,56,0.600,0.600
3.130534,59,56,0.600,0.600
3.140657,59,56,0.600,0.600
3.150773,60,57,0.600,0.600
3.160888,60,57,0.600,0.600
3.171003,61,57,0.600,0.600
3.181133,61,58,0.600,0.600
3.191278,61,58,0.600,0.600
3.201454,62,59,0.250,0.250
3.211920,62,59,0.250,0.250
3.222304,63,59,0.250,0.250
3.232680,63,60,0.250,0.250
3.243114,64,60,0.250,0.250
3.253529,64,61,0.250,0.250
3.263901,65,61,0.250,0.250
3.274304,65,62,0.250,0.250
3.284695,65,62,0.250,0.250
3.295118,66,62,0.250,0.250
3.305499,66,63,0.250,0.250
3.315865,67,63,0.250,0.250
3.326256,67,64,0.250,0.250
3.336615,68,64,0.250,0.250
3.346965,68,64,0.250,0.250
3.357463,68,65,0.250,0.250
3.367818,69,65,0.250,0.250
3.378190,69,66,0.250,0.250
3.388571,69,66,0.250,0.250
3.398911,70,66,0.250,0.250
3.409284,70,67,0.250,0.250
3.419651,71,67,0.250,0.250
3.430136,71,68,0.250,0.250
3.440544,71,68,0.250,0.250
3.450910,72,68,0.250,0.250
3.461307,72,69,0.250,0.250
3.481671,73,69,0.000,0.000
3.049288,74,70,0.000,0.000
3.572739,76,72,0.000,0.000
3.614071,76,73,0.000,0.000
